GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CalculatorProgram,calculatorprogram.calculators,Calculator.Exceptions,7,0,0,0,3,0,1,0,1,0
CalculatorProgram,calculatorprogram.calculators,Calculator,104,1216,41,115,15,209,32,73,2,25
CalculatorProgram,calculatorprogram.calculators,GraphicCalculator,399,0,52,0,69,0,33,0,7,0
CalculatorProgram,calculatorProgram.gui,UserInterface,3352,0,150,0,627,0,134,0,59,0
CalculatorProgram,calculatorprogram,Main,10,0,0,0,4,0,2,0,2,0
